품목비교 Historical Data
조회기간 :,2008-07-20 ~ 2018-07-18
표시기준 :,Value(Price)로 표시
순서 :,최근부터(DESC)
병합기준 :,Union
[일간 기준]
,"철광석 Fines (Daily) [중국(수입가 CFR)] 현물USD/ton","PDS 에너지 하위지수2015.01.02=100","PDS 비철금속 하위지수2015.01.02=100","PDS 철강 하위지수2015.01.02=100","PDS 석유화학 하위지수2015.01.02=100","PDS 농산물 하위지수2015.01.02=100","LMEX Index1999.04=1000","US Dollar IndexMar 1973=100","DRAMeXchange Index (DXI)2001.10.01=1000","TOCOM Index2002.05.31=100","Rogers International Commodities Index1998.07.31=1000","Rogers International Commodities Index Energy1998.07.31=1000","Rogers International Commodities Index Metals1998.07.31=1000","Rogers International Commodities Index Agriculture1998.07.31=1000"
20180130,72.97,124.056,120.452,113.11,130.834,88.099,3431,85.0494,29158.72,270.37,2497.02,373.95,2259.83,825.38
20180129,74.33,124.67,119.756,113.924,130.834,87.413,3429,85.229,29295.08,275.06,2511.59,378.13,2278.56,823.41
20180126,74.4,124.155,119.942,113.924,129.067,86.944,3435,84.8181,29523.37,275.73,2523.14,381.77,2288.41,822.02
20180125,75.04,124.363,117.892,113.924,129.067,87.451,3436,84.6338,29534.68,276.77,2512.39,378.34,2297.84,818.56
20180124,74.53,123.171,117.495,113.924,129.067,86.584,3354,85.1294,29544.68,275.93,2513.27,378,2291.49,821.42
20180123,76.75,120.654,118.892,113.924,129.067,86.63,3395,86.002,29488.13,276.77,2480.31,373.78,2245.51,813.42
20180122,76.61,119.854,119.381,114.042,129.067,86.326,3376,86.2499,29507,275.82,2468.71,367.69,2254.28,816.1
20180119,76.75,120.624,118.325,112.802,127.181,85.897,3383,86.1844,29549.86,274.96,2461.16,366.19,2250.37,813.83
20180118,74.87,120.998,117.792,112.802,127.181,86.03,3350,86.1659,29601,277.38,2470.62,369.9,2246.03,814.24
20180117,74.51,120.205,117.382,112.802,127.181,85.632,3365,86.2379,29762.07,276.06,2468.27,370.44,2240.72,811.94
20180116,75.71,121.735,119.772,112.802,127.181,85.354,3419,86.1829,29768.73,278.33,2457.14,368.24,2243.56,806.29
20180115,76.59,121.252,118.378,112.98,127.181,85.331,3380,#N/A,29765.24,277.87,#N/A,#N/A,#N/A,#N/A
20180112,78.05,120.026,118.554,112.98,126.411,85.55,3373,86.8613,29763.94,275.65,2465.03,371.31,2244.23,805.56
20180111,79.08,118.874,118.375,112.98,126.411,86.376,3373,87.2656,29757.32,276.47,2455.3,367.72,2230.11,809.42
20180110,78.31,118.376,117.87,112.98,126.411,86.674,3344,87.4798,29770.34,277.18,2448.11,365.26,2229.04,809.29
20180109,78.47,116.667,118.003,112.98,126.411,86.536,3366,87.6932,29780.31,276.41,2438.75,363.58,2216.23,808.07
20180108,77.74,116.332,118.713,112.188,126.411,87.153,3368,87.4709,29785.66,#N/A,2422.19,357.02,2232.72,805.18
20180105,76.8,117.256,119.847,112.188,123.027,87.565,3405,87.2176,29782.33,276.96,2423.27,355.48,2233.81,810.04
20180104,76.54,117.502,119.038,112.188,123.027,87.767,3379,87.3561,29737.11,275.79,2440.11,358.87,2247.4,813.72
20180103,74.97,116.415,119.872,112.188,123.027,87.651,3413,87.4423,29704.65,#N/A,2438.12,359.47,2235.28,813.39
20180102,74.71,116.11,118.793,112.188,123.027,87.002,3419,87.2663,29735.32,#N/A,2422.96,354.5,2242.45,810.07
20180101,#N/A,116.11,118.793,111.328,123.027,87.002,3419,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20171229,72.61,114.882,119.361,111.328,123.027,86.909,3429,87.4741,27274.69,271.75,2415.9,354.48,2232.68,805.85
20171228,72.62,113.622,117.864,111.328,123.027,87.001,3398,87.9068,27272.31,270.76,2404.76,351.17,2226.3,805.6
20171227,72.62,113.395,115.622,111.328,123.027,86.613,3344,88.2974,27358.54,270.35,2391.69,347.76,2208.88,806.72
20171226,76.08,112.049,115.622,111.328,123.027,85.851,3344,88.5227,27380.32,267.61,2382.49,348.35,2183.34,803.02
20171225,#N/A,112.049,115.622,111.328,123.027,85.851,3344,#N/A,27380.18,266.61,#N/A,#N/A,#N/A,#N/A
20171222,76.36,111.115,115.21,111.328,122.56,85.852,3314,88.743,27380.18,265.93,2355.43,340.43,2176.32,799.81
20171221,72.82,110.92,114.827,111.328,122.56,85.539,3294,88.6088,27377.76,265.4,2345.86,338.43,2157.47,800.93
20171220,72.84,110.314,113.335,111.328,122.56,85.184,3256,88.7856,27370.27,263.52,2337.32,337.59,2152.25,796.24
20171219,73.93,110.088,113.188,111.328,122.56,84.828,3240,89.0689,27358.64,261.13,2323.98,335.25,2136.22,793.83
20171218,74.15,108.978,111.706,111.35,122.56,84.99,3227,88.9388,27367.81,260.42,2319.26,333.92,2132.24,793.88
20171215,71.5,109.124,111.141,110.678,122.433,84.775,3186,89.1218,27366.84,258.83,2309.08,331.57,2116.17,794.58
20171214,69.94,108.581,110.686,108.772,122.433,84.859,3148,89.0225,27400.78,258.56,2305.11,332.15,2096.88,794.35
20171213,70.85,109.581,110.307,108.772,122.433,84.695,3137,89.2519,27472.02,261.74,2291.21,329.49,2081.38,792.11
20171212,71.25,111.622,109.025,108.772,122.433,85.005,3140,89.4931,27525.38,265.75,2294.05,333.01,2073.88,787.38
20171211,68.82,109.715,108.796,106.182,122.433,85.889,3101,89.13,27538.31,262.07,2319.43,340.03,2080.4,791.52
20171208,69.35,108.027,109.011,106.182,121.294,86.176,3100,89.3369,27562.65,260.39,2309.61,335.61,2066.07,797.74
20171207,65.7,108.173,109.507,106.182,121.294,86.897,3102,89.036,27578.41,257.76,2299.79,331.19,2068.57,799.38
20171206,69.36,109.782,111.051,106.182,121.294,87.961,3115,88.9141,27593.87,260.33,2299.8,328.98,2081.31,801.92
20171205,71.77,109.967,112.911,106.182,121.294,88.154,3206,88.6075,27543.55,261.18,2332.19,336.98,2091.9,809.15
20171204,72.68,111.712,111.889,106.689,121.294,88.399,3219,88.538,27520.06,263.86,2341.71,336.26,2129.07,810.41
20171201,70.11,109.868,111.794,106.689,121.928,88.23,3176,88.1787,27514.71,261.92,2367.68,342.76,2140.76,815.12
20171130,68.13,110.84,111.725,106.689,121.928,88.514,3186,88.6542,27154.27,261.6,2342.9,337.38,2121.68,810.63
20171129,67.92,111.4,112.843,106.689,121.928,88.06,3206,88.6792,27128.08,261.25,2354.17,339.3,2129.81,814.25
20171128,67.76,110.84,113.97,106.689,121.928,88.292,3260,88.5525,27119.95,261.15,2362.19,342.34,2149.69,808.17
20171127,67.27,110.83,115.026,106.821,121.928,87.725,3289,88.2549,27184.81,262.11,2365.13,341.6,2170.78,807.49
20171124,67.94,110.818,113.927,106.821,118.403,87.908,3269,88.1531,27184.32,262.16,2374.1,342.4,2176.51,812.67
20171123,67.69,110.695,113.811,106.821,118.403,87.952,3262,#N/A,27138.25,#N/A,#N/A,#N/A,#N/A,#N/A
20171122,65.17,110.035,112.816,106.821,118.403,86.657,3238,88.7161,27107.15,261.98,2369.56,340.7,2169.89,814.8
20171121,62.5,109.779,112.032,106.821,118.403,85.897,3214,89.1177,26936.38,261.42,2351.52,337.32,2154.9,810.44
20171120,63.47,110.366,112.007,107.153,118.403,86.317,3207,89.1893,26985.88,262.23,2343.59,335.81,2140.57,810.74
20171117,62.61,108.969,112.778,107.153,121.548,85.508,3186,88.9155,26981.27,259.55,2359.1,338.31,2162.4,813.21
20171116,61.57,109.505,111.867,107.153,121.548,85.675,3204,89.0313,26976.13,262.07,2327.89,331.4,2138.2,808.25
20171115,61.84,110.216,113.594,107.153,121.548,85.338,3197,89.1045,26969.08,260.69,2335.63,333.33,2143.01,809.17
20171114,63.17,111.655,113.299,107.153,121.548,85.504,3261,89.1425,26975.61,265.62,2342.29,335.25,2144.87,809.85
20171113,62.19,112.405,113.74,108.553,121.548,85.888,3227,89.5331,26935.39,266.04,2369.12,341.32,2168.06,813.07
