Date,Open,High,Low,Close,Adj Close,Volume
2012-03-11,4.761000,4.880000,4.559000,4.584000,3.176159,15802
2012-03-18,4.800000,4.892000,4.588000,4.740000,3.284247,6540
2012-03-25,4.591000,4.627000,4.471000,4.485000,3.107563,1556
2012-04-01,4.569000,4.651000,4.526000,4.526000,3.135971,200
2012-04-08,4.526000,4.699000,4.385000,4.699000,3.255839,2860
2012-04-15,4.650000,4.792000,4.530000,4.608000,3.192788,9710
2012-04-22,4.601000,4.630000,4.385000,4.404000,3.051440,6840
2012-04-29,4.410000,4.475000,4.158000,4.158000,2.880992,1045
2012-05-06,4.023000,4.214000,3.964000,4.064000,2.815861,2240
2012-05-13,4.089000,4.089000,3.462000,3.462000,2.398748,1103
2012-05-20,3.628000,3.690000,3.340000,3.340000,2.314216,0
2012-05-27,3.603000,3.792000,3.383000,3.383000,2.344010,4180
2012-06-03,3.339000,3.654000,3.339000,3.573000,2.475657,0
2012-06-10,3.521000,3.724000,3.521000,3.696000,2.560882,0
2012-06-17,3.894000,3.983000,3.695000,3.840000,2.660656,800
2012-06-24,3.840000,3.998000,3.804000,3.998000,2.770131,100
2012-07-01,3.930000,4.081000,3.930000,3.970000,2.750731,0
2012-07-08,3.980000,4.070000,3.680000,3.680000,2.549796,0
2012-07-15,3.843000,3.843000,3.574000,3.574000,2.476350,0
2012-07-22,3.439000,3.473000,3.321000,3.473000,2.406370,1046
2012-07-29,3.440000,3.699000,3.440000,3.568000,2.472193,0
2012-08-05,3.610000,3.841000,3.610000,3.767000,2.610076,0
2012-08-12,3.801000,3.801000,3.474000,3.506000,2.429235,0
2012-08-19,3.450000,3.485000,3.310000,3.310000,2.293430,0
2012-08-26,3.278000,3.278000,2.873000,2.873000,1.990642,1672
2012-09-02,2.971000,2.971000,2.380000,2.692000,1.890352,4253
2012-09-09,2.827000,2.896000,2.389000,2.420000,1.699350,8000
2012-09-16,2.420000,2.940000,2.420000,2.851000,2.002004,2200
2012-09-23,2.865000,2.865000,2.794000,2.795000,1.962680,0
2012-09-30,2.793000,2.804000,2.700000,2.802000,1.967595,0
2012-10-07,2.853000,3.070000,2.853000,3.010000,2.113655,0
2012-10-14,2.910000,3.309000,2.910000,3.309000,2.323616,0
2012-10-21,3.222000,3.335000,3.209000,3.209000,2.253395,2500
2012-10-28,3.194000,3.234000,3.166000,3.197000,2.244968,0
2012-11-04,3.269000,3.350000,3.170000,3.170000,2.226009,1120
2012-11-11,3.263000,3.266000,3.132000,3.132000,2.199325,200
2012-11-18,3.076000,3.227000,2.937000,2.937000,2.062394,0
2012-11-25,3.027000,3.080000,3.022000,3.080000,2.162810,0
2012-12-02,2.953000,3.030000,2.910000,3.030000,2.127699,0
2012-12-09,3.260000,3.416000,3.260000,3.414000,2.397348,600
2012-12-16,3.540000,3.644000,3.404000,3.404000,2.390326,500
2012-12-23,3.404000,3.579000,3.404000,3.579000,2.513213,0
2012-12-30,3.579000,3.974000,3.579000,3.833000,2.691575,0
2013-01-06,3.877000,3.877000,3.722000,3.722000,2.613629,0
2013-01-13,3.673000,3.673000,3.403000,3.505000,2.461249,0
2013-01-20,3.546000,3.639000,3.497000,3.497000,2.455632,0
2013-01-27,3.580000,3.648000,3.552000,3.613000,2.537088,1000
2013-02-03,3.617000,3.747000,3.610000,3.747000,2.631184,0
2013-02-10,3.802000,4.334000,3.777000,4.070000,2.857999,10340
2013-02-17,3.915000,3.954000,3.672000,3.722000,2.613629,0
2013-02-24,3.670000,3.670000,3.522000,3.522000,2.473187,400
2013-03-03,3.383000,3.492000,3.383000,3.436000,2.412797,0
2013-03-10,3.406000,3.406000,3.099000,3.216000,2.258310,4970
2013-03-17,3.085000,3.109000,3.041000,3.051000,2.142445,0
2013-03-24,3.091000,3.195000,3.056000,3.150000,2.211964,200
2013-03-31,3.150000,3.150000,2.802000,2.802000,1.967595,1000
2013-04-07,2.845000,3.193000,2.845000,3.193000,2.242160,100
2013-04-14,2.979000,2.979000,2.695000,2.934000,2.060287,0
2013-04-21,2.951000,2.951000,2.811000,2.817000,1.978128,0
2013-04-28,2.737000,2.746000,2.567000,2.651000,1.861561,0
2013-05-05,2.778000,3.076000,2.778000,2.986000,2.096802,1379
2013-05-12,2.903000,2.907000,2.621000,2.621000,1.840495,2520
2013-05-19,2.652000,2.719000,2.600000,2.602000,1.827153,0
